fdc_id,description_en,description_de
173737,"Beans, cranberry (roman), mature seeds, canned",
175240,"Beans, cranberry (roman), mature seeds, cooked, boiled, with salt",
173736,"Beans, cranberry (roman), mature seeds, cooked, boiled, without salt",
175189,"Beans, cranberry (roman), mature seeds, raw",
747444,"Beans, Dry, Black (0% moisture)",
747433,"Beans, Dry, Brown (0% moisture)",
747436,"Beans, Dry, Carioca (0% moisture)",
747437,"Beans, Dry, Cranberry (0% moisture)",
747440,"Beans, Dry, Dark Red Kidney (0% moisture)",
747432,"Beans, Dry, Flor de Mayo (0% moisture)",
747446,"Beans, Dry, Great Northern (0% moisture)",
747438,"Beans, Dry, Light Red Kidney (0% moisture)",
747435,"Beans, Dry, Light Tan (0% moisture)",
747430,"Beans, Dry, Medium Red (0% moisture)",
747441,"Beans, Dry, Navy (0% moisture)",
747439,"Beans, Dry, Pink (0% moisture)",
747445,"Beans, Dry, Pinto (0% moisture)",
